region,ort,unternehmen,branche,typ,karriere_url,status
Hamburg & Umgebung,Hamburg,MOIA,Mobilität,Startup/Scale-up,https://www.moia.io,
Hamburg & Umgebung,Hamburg,Montblanc,Luxusgüter,Konzern,https://www.montblanc.com,
Hamburg & Umgebung,Hamburg,Möhrle Happ Luther,WP/Steuerberatung,Mittelstand/Familienunternehmen,https://www.mhl.de,Unterlagen erstellt
Hamburg & Umgebung,Hamburg,New Work SE (XING),HR-Tech/Plattform,Konzern,https://www.new-work.se,
Hamburg & Umgebung,Hamburg,Nordex,Windenergie,Konzern,https://www.nordex-online.com,
Hamburg & Umgebung,Hamburg,Olympus Europa,Medizintechnik,Konzern,https://www.olympus.de,
Hamburg & Umgebung,Hamburg,OMR,Medien/Events,Startup/Scale-up,https://omr.com,
Hamburg & Umgebung,Hamburg,Otto Group,Handel/E-Commerce,Konzern,https://www.ottogroup.com/de/karriere,
Hamburg & Umgebung,Hamburg,Remazing,E-Commerce-Beratung,Startup/Scale-up,https://www.remazing.com,bereits beworben
Hamburg & Umgebung,Hamburg,Shell Deutschland,Energie,Konzern,https://www.shell.de,
Hamburg & Umgebung,Hamburg,SIGNAL IDUNA (Standort Hamburg),Versicherung,Konzern,https://www.signal-iduna.de/karriere,
Hamburg & Umgebung,Hamburg,SPIEGEL-Gruppe,Medien,Mittelstand/Familienunternehmen,https://www.spiegelgruppe.de,
Hamburg & Umgebung,Hamburg,STILL GmbH,Intralogistik,Konzern,https://www.still.de,
Hamburg & Umgebung,Hamburg,Tchibo,Handel,Konzern,https://www.tchibo.com,
Hamburg & Umgebung,Norderstedt,tesa SE,Klebetechnik,Konzern,https://www.tesa.com,
Hamburg & Umgebung,Hamburg,Unilever Deutschland,Konsumgüter,Konzern,https://www.unilever.de,
Hamburg & Umgebung,Hamburg,ZEIT Verlagsgruppe,Medien,Mittelstand/Familienunternehmen,https://www.zeit.de,
Köln & Umgebung,Köln,AXA Konzern,Versicherung,Konzern,https://www.axa.de/karriere,
Köln & Umgebung,Köln,BarmeniaGothaer,Versicherung,Konzern,https://www.barmenia-gothaer.de,bereits beworben
Köln & Umgebung,Köln,Bastei Lübbe,Verlag,Mittelstand/Familienunternehmen,https://www.luebbe.de,
Köln & Umgebung,Leverkusen,Bayer AG,Pharma/Life Science,Konzern,https://karriere.bayer.de,
Köln & Umgebung,Köln,Carglass Deutschland,Dienstleistung,Konzern,https://www.carglass.de/karriere,
Köln & Umgebung,Bonn,Chefkoch GmbH,Digitale Medien,Startup/Scale-up,https://www.chefkoch.de,
Köln & Umgebung,Leverkusen,Covestro,Chemie,Konzern,https://www.covestro.com/de/careers,
Köln & Umgebung,Leverkusen,Currenta,Chemiepark-Betreiber,Konzern,https://www.currenta.de/karriere,
Köln & Umgebung,Köln,Deutsche Lufthansa (Standort Köln),Luftfahrt,Konzern,https://www.be-lufthansa.com,
Köln & Umgebung,Bonn,Deutsche Telekom,Telekommunikation,Konzern,https://www.telekom.com/de/karriere,
Köln & Umgebung,Köln,Deutz AG,Motorenbau,Konzern,https://www.deutz.com/karriere,
Köln & Umgebung,Köln,DEVK Versicherungen,Versicherung,Konzern,https://www.devk.de/karriere,
Köln & Umgebung,Bonn,DHL Group,Logistik,Konzern,https://careers.dhl.com,
Köln & Umgebung,Köln,DuMont Mediengruppe,Medien,Mittelstand/Familienunternehmen,https://www.dumont.de/karriere,
Köln & Umgebung,Köln,Emons Spedition,Logistik,Mittelstand/Familienunternehmen,https://www.emons.de/karriere,Unterlagen erstellt
Köln & Umgebung,Wesseling,Evonik (Standort Wesseling),Chemie,Konzern,https://careers.evonik.com,
Köln & Umgebung,Köln,Ford-Werke GmbH,Automobil,Konzern,https://www.ford.de,
Köln & Umgebung,Grafschaft,HARIBO,Lebensmittel,Mittelstand/Familienunternehmen,https://www.haribo.com/de-de/karriere,
Köln & Umgebung,Köln,HDI Deutschland (Standort Köln),Versicherung,Konzern,https://www.hdi.group/karriere,
Köln & Umgebung,Köln,HRS Group,Travel-Tech,Startup/Scale-up,https://www.hrs.com,
Köln & Umgebung,Köln,igus GmbH,Kunststofftechnik,Mittelstand/Familienunternehmen,https://www.igus.de/karriere,
Köln & Umgebung,Bergisch Gladbach,Krüger Gruppe,Lebensmittel,Mittelstand/Familienunternehmen,https://www.krueger.de,
Köln & Umgebung,Köln,LANXESS,Chemie,Konzern,https://lanxess.com/de-de/karriere,
Köln & Umgebung,Wermelskirchen,OBI Group,Handel,Konzern,https://www.obi.de/karriere,
Köln & Umgebung,Köln,Pelka und Sozien,Steuerberatung,Mittelstand/Familienunternehmen,https://www.pelka.de,bereits beworben
Köln & Umgebung,Bonn,Postbank / Deutsche Bank (Standort Bonn),Bank,Konzern,https://careers.db.com,
Köln & Umgebung,Köln,REWE Group,Handel,Konzern,https://www.rewe-group.com/de/karriere,Unterlagen erstellt (Praktikum PE)
Köln & Umgebung,Köln,RTL Deutschland,Medien,Konzern,https://www.rtl.de,
Köln & Umgebung,Bonn,Scopevisio,Software,Startup/Scale-up,https://www.scopevisio.com,
Köln & Umgebung,Köln,STRABAG BRVZ,Bau (Shared Services),Konzern,https://karriere.strabag.com,bereits beworben
Köln & Umgebung,Köln,Ströer SE,Medien/Werbung,Konzern,https://karriere.stroeer.com,Unterlagen erstellt
Köln & Umgebung,Köln,Team Lieblings-Zahnarzt,Zahnmedizin-Gruppe,Startup/Scale-up,,bereits beworben
Köln & Umgebung,Köln,toom Baumarkt,Handel,Konzern,https://www.toom.de/karriere,
Köln & Umgebung,Köln,TÜV Rheinland,Prüfdienstleistung,Konzern,https://www.tuv.com/karriere,
Köln & Umgebung,Köln,Zurich Gruppe Deutschland,Versicherung,Konzern,https://www.zurich.de/karriere,bereits beworben
München & Umgebung,Ottobrunn/Taufkirchen,Airbus (Standort Ottobrunn),Luft- und Raumfahrt,Konzern,https://www.airbus.com/en/careers,
München & Umgebung,München,Allianz,Versicherung,Konzern,https://careers.allianz.com,
München & Umgebung,München,ams OSRAM,Halbleiter/Licht,Konzern,https://ams-osram.com,
München & Umgebung,München,ARRI,Kameratechnik,Mittelstand/Familienunternehmen,https://www.arri.com,
München & Umgebung,Ingolstadt,AUDI AG,Automobil,Konzern,https://www.audi.com,
München & Umgebung,München,BMW Group,Automobil,Konzern,https://www.bmwgroup.jobs,
München & Umgebung,München,Brainlab,Medizintechnik,Mittelstand/Familienunternehmen,https://www.brainlab.com,
München & Umgebung,München,Celonis,Software,Startup/Scale-up,https://www.celonis.com/careers,
München & Umgebung,München,CHECK24,Vergleichsportal,Konzern,https://jobs.check24.de,
München & Umgebung,München,Die Bayerische,Versicherung,Mittelstand/Familienunternehmen,https://www.diebayerische.de,
München & Umgebung,München,EGYM,Fitness-Tech,Startup/Scale-up,https://egym.com,
München & Umgebung,München,ERGO Group (Standort München),Versicherung,Konzern,https://www.ergo.com,
München & Umgebung,München,Flix SE,Mobilität,Startup/Scale-up,https://www.flix.com,
München & Umgebung,München,Freeletics,Fitness-App,Startup/Scale-up,https://www.freeletics.com,
München & Umgebung,München,Generali Deutschland,Versicherung,Konzern,https://www.generali.de,
München & Umgebung,München,Giesecke+Devrient,Sicherheitstechnologie,Mittelstand/Familienunternehmen,https://www.gi-de.com,
München & Umgebung,München,Hubert Burda Media,Medien,Konzern,https://www.burda.com,
München & Umgebung,München,HypoVereinsbank (UniCredit),Bank,Konzern,https://www.hypovereinsbank.de,
München & Umgebung,München,IDnow,Identity-Tech,Startup/Scale-up,https://www.idnow.io,
München & Umgebung,Neubiberg,Infineon Technologies,Halbleiter,Konzern,https://www.infineon.com/careers,
München & Umgebung,Ottobrunn,Isar Aerospace,Raumfahrt,Startup/Scale-up,https://www.isaraerospace.com,
München & Umgebung,München,Knorr-Bremse,Bremssysteme,Konzern,https://www.knorr-bremse.com,
München & Umgebung,München,KONUX,Bahn-Tech,Startup/Scale-up,https://www.konux.com,
München & Umgebung,Pullach,Linde,Industriegase,Konzern,https://www.linde.com,
München & Umgebung,München,MAN Truck & Bus,Nutzfahrzeuge,Konzern,https://www.man.eu,
München & Umgebung,München,McDonald's Deutschland,Gastronomie,Konzern,https://karriere.mcdonalds.de,
München & Umgebung,Ingolstadt,MediaMarktSaturn,Handel,Konzern,https://www.mediamarktsaturn.com,
München & Umgebung,Unterschleißheim,Microsoft Deutschland,Software,Konzern,https://careers.microsoft.com,
München & Umgebung,München,MTU Aero Engines,Luftfahrt,Konzern,https://www.mtu.de,
München & Umgebung,München,Munich Re,Rückversicherung,Konzern,https://www.munichre.com,
München & Umgebung,Aschheim,Mytheresa,E-Commerce,Konzern,https://www.mytheresa.com,
München & Umgebung,München,Paulaner Brauerei Gruppe,Getränke,Mittelstand/Familienunternehmen,https://www.paulaner.de,
München & Umgebung,München,Personio,HR-Software,Startup/Scale-up,https://www.personio.com,
München & Umgebung,Unterföhring,ProSiebenSat.1,Medien,Konzern,https://www.prosiebensat1.com,
München & Umgebung,Penzberg,Roche Diagnostics (Standort Penzberg),Pharma/Biotech,Konzern,https://www.roche.de,
München & Umgebung,München,Rohde & Schwarz,Elektronik,Mittelstand/Familienunternehmen,https://www.rohde-schwarz.com,
München & Umgebung,München,Scalable Capital,Fintech,Startup/Scale-up,https://de.scalable.capital,
München & Umgebung,München,Siemens AG,Technologie,Konzern,https://www.siemens.com/karriere,
München & Umgebung,Pullach,Sixt SE,Mobilität,Konzern,https://www.sixt.jobs,
München & Umgebung,Unterföhring,Sky Deutschland,Medien,Konzern,https://careers.sky.com,
München & Umgebung,München,Süddeutscher Verlag,Medien,Mittelstand/Familienunternehmen,https://www.sueddeutscher-verlag.de,
München & Umgebung,München,tado,Smart Home,Startup/Scale-up,https://www.tado.com,
München & Umgebung,München,TÜV SÜD,Prüfdienstleistung,Konzern,https://www.tuvsud.com,
München & Umgebung,München,Wacker Chemie,Chemie,Konzern,https://www.wacker.com,
München & Umgebung,München,Westwing,E-Commerce,Startup/Scale-up,https://www.westwing.de,
Münster & Münsterland,Münster,adesso SE (Standort Münster),IT-Beratung,Konzern,https://www.adesso.de/karriere,bereits beworben (Dortmund)
Münster & Münsterland,Münster,AGRAVIS Raiffeisen AG,Agrarhandel,Konzern,https://www.agravis.de/karriere,
Münster & Münsterland,Münster,Alexianer GmbH,Gesundheit/Soziales,Konzern,https://www.alexianer.de/karriere,
Münster & Münsterland,Rheine,Apetito,Lebensmittel/Catering,Mittelstand/Familienunternehmen,https://www.apetito.de/karriere,
Münster & Münsterland,Münster,Armacell,Dämmstoffe,Konzern,https://www.armacell.com,
Münster & Münsterland,Münster,Aschendorff Medien,Medien,Mittelstand/Familienunternehmen,https://www.aschendorff.de,
Münster & Münsterland,Münster,Atruvia AG,IT-Dienstleister Banken,Konzern,https://www.atruvia.de/karriere,bereits beworben
Münster & Münsterland,Münster,Brillux,Farben und Lacke,Mittelstand/Familienunternehmen,https://www.brillux.de/karriere,
Münster & Münsterland,Harsewinkel,CLAAS,Landtechnik,Konzern,https://www.claas.com/karriere,
Münster & Münsterland,Osnabrück,Coppenrath & Wiese,Lebensmittel,Mittelstand/Familienunternehmen,https://www.coppenrath-wiese.de/karriere,
Münster & Münsterland,Münster,Coppenrath Verlag,Verlag,Mittelstand/Familienunternehmen,https://www.coppenrath.de,
Münster & Münsterland,Gescher,d.velop AG,Software,Mittelstand/Familienunternehmen,https://www.d-velop.de/karriere,ehemaliger Arbeitgeber
Münster & Münsterland,Münster,DZ HYP,Bank,Konzern,https://www.dzhyp.de/karriere,
Münster & Münsterland,Coesfeld,Ernsting's family,Handel,Mittelstand/Familienunternehmen,https://www.ernstings-family.de/karriere,
Münster & Münsterland,Osnabrück,Felix Schoeller Group,Spezialpapiere,Mittelstand/Familienunternehmen,https://www.felix-schoeller.com,
Münster & Münsterland,Greven,FIEGE Logistik,Logistik,Mittelstand/Familienunternehmen,https://www.fiege.com/de/karriere,bereits beworben
Münster & Münsterland,Münster,Flaschenpost SE,E-Commerce/Logistik,Startup/Scale-up,https://www.flaschenpost.de/karriere,
Münster & Münsterland,Oelde,GEA (Standort Oelde),Maschinenbau,Konzern,https://www.gea.com/de/careers,
Münster & Münsterland,Ochtrup,GGM Gastro International,Gastro-Ausstattung/E-Commerce,Mittelstand/Familienunternehmen,https://www.ggmgastro.com,bereits beworben
Münster & Münsterland,Oelde,Haver & Boecker,Maschinenbau,Mittelstand/Familienunternehmen,https://www.haverboecker.com,
Münster & Münsterland,Osnabrück,Hellmann Worldwide Logistics,Logistik,Konzern,https://www.hellmann.com/de/karriere,
Münster & Münsterland,Münster,Hengst SE,Filtrationstechnik,Mittelstand/Familienunternehmen,https://www.hengst.com/karriere,
Münster & Münsterland,Münster,IVV (Versicherungs-IT),IT,Mittelstand/Familienunternehmen,https://www.ivv.de,
Münster & Münsterland,Osnabrück,KME Germany,Metallverarbeitung,Konzern,https://www.kme.com,
Münster & Münsterland,Münster,LVM Versicherung,Versicherung,Konzern,https://www.lvm.de/karriere,bereits beworben
Münster & Münsterland,Osnabrück,OSMA (Osnabrück),,Mittelstand/Familienunternehmen,,bereits beworben
Münster & Münsterland,Ennigerloh,Rottendorf Pharma,Pharma,Mittelstand/Familienunternehmen,https://www.rottendorf.com,
Münster & Münsterland,Horstmar,Schmitz Cargobull,Fahrzeugbau,Mittelstand/Familienunternehmen,https://www.cargobull.com,
Münster & Münsterland,Münster,St. Franziskus-Stiftung Münster,Gesundheit,Konzern,https://www.st-franziskus-stiftung.de,
Münster & Münsterland,Ahaus,Tobit.Software,Software,Mittelstand/Familienunternehmen,https://www.tobit.com,
Münster & Münsterland,Münster,Volksbank Münsterland Nord,Bank,Mittelstand/Familienunternehmen,https://www.vb-mn.de,
Münster & Münsterland,Münster,Web Computing GmbH,Software/KI,Startup/Scale-up,https://www.web-computing.de,ehemaliger Arbeitgeber
Münster & Münsterland,Münster,Westfalen AG,Energie/Gase,Mittelstand/Familienunternehmen,https://www.westfalen.com/karriere,
Münster & Münsterland,Münster,Westfleisch,Lebensmittel,Mittelstand/Familienunternehmen,https://www.westfleisch.de/karriere,
Münster & Münsterland,Rheine,Windhoff,Schienenfahrzeuge,Mittelstand/Familienunternehmen,https://www.windhoff.de,
Münster & Münsterland,Lengerich,Windmöller & Hölscher,Maschinenbau,Mittelstand/Familienunternehmen,https://www.wuh-group.com/karriere,
Münster & Münsterland,Telgte,Winkhaus,Beschläge/Schließsysteme,Mittelstand/Familienunternehmen,https://www.winkhaus.com,
